email,company,timestamp,status
link.rel@boards.greenhouse.io,Stripe,2026-02-03T17:43:01.604757,failed
link@boards.greenhouse.io,Stripe,2026-02-03T17:43:03.463502,failed
hr@boards.greenhouse.io,Stripe,2026-02-03T17:43:05.503274,failed
careers@boards.greenhouse.io,Stripe,2026-02-03T17:43:07.347461,failed
flex.text@boards.greenhouse.io,Airbnb,2026-02-03T17:43:11.268504,failed
flex@boards.greenhouse.io,Airbnb,2026-02-03T17:43:14.003945,failed
item.menu@boards.greenhouse.io,Airbnb,2026-02-03T17:43:17.997597,failed
item@boards.greenhouse.io,Airbnb,2026-02-03T17:43:19.711418,failed
ancestor.current@boards.greenhouse.io,Airbnb,2026-02-03T17:43:23.523293,failed
ancestor@boards.greenhouse.io,Airbnb,2026-02-03T17:43:25.779954,failed
custom.menu@boards.greenhouse.io,Airbnb,2026-02-03T17:43:27.523685,failed
custom@boards.greenhouse.io,Airbnb,2026-02-03T17:43:29.406123,failed
type.menu@boards.greenhouse.io,Airbnb,2026-02-03T17:43:32.132820,failed
type@boards.greenhouse.io,Airbnb,2026-02-03T17:43:33.746053,failed
parent.menu@boards.greenhouse.io,Airbnb,2026-02-03T17:43:35.404877,failed
parent@boards.greenhouse.io,Airbnb,2026-02-03T17:43:37.854502,failed
protected.characteristic@boards.greenhouse.io,Airbnb,2026-02-03T17:43:39.603462,failed
protected@boards.greenhouse.io,Airbnb,2026-02-03T17:43:41.447618,failed
if.you@boards.greenhouse.io,Airbnb,2026-02-03T17:43:43.905282,failed
if@boards.greenhouse.io,Airbnb,2026-02-03T17:43:45.599091,failed
en.current@boards.greenhouse.io,Airbnb,2026-02-03T17:43:47.256557,failed
en@boards.greenhouse.io,Airbnb,2026-02-03T17:43:49.135913,failed
li.class@boards.greenhouse.io,Airbnb,2026-02-03T17:43:50.900168,failed
li@boards.greenhouse.io,Airbnb,2026-02-03T17:43:53.428289,failed
reset.facetwp@boards.greenhouse.io,Airbnb,2026-02-03T17:43:55.069120,failed
reset@boards.greenhouse.io,Airbnb,2026-02-03T17:43:56.813094,failed
light.flavor@boards.greenhouse.io,Stripe,2026-02-03T17:43:58.754543,failed
light@boards.greenhouse.io,Stripe,2026-02-03T17:44:02.523859,failed
white.flavor@boards.greenhouse.io,Stripe,2026-02-03T17:44:04.342036,failed
white@boards.greenhouse.io,Stripe,2026-02-03T17:44:06.064708,failed
united.kingdom@boards.greenhouse.io,Stripe,2026-02-03T17:44:07.928617,failed
united@boards.greenhouse.io,Stripe,2026-02-03T17:44:09.532198,failed
flag.flag@boards.greenhouse.io,Stripe,2026-02-03T17:44:11.260251,failed
flag@boards.greenhouse.io,Stripe,2026-02-03T17:44:12.862298,failed
